porowner,name,url,stars,contributors,commits_5_anos,default_branch
public-apis,public-apis,https://github.com/public-apis/public-apis,436823,1441,1793,master
EbookFoundation,free-programming-books,https://github.com/EbookFoundation/free-programming-books,388835,3495,3920,main
vinta,awesome-python,https://github.com/vinta/awesome-python,299247,542,835,master
TheAlgorithms,Python,https://github.com/TheAlgorithms/Python,221341,1330,1554,master
Significant-Gravitas,AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,184481,819,8606,master
yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,164947,1729,4878,master
NousResearch,hermes-agent,https://github.com/NousResearch/hermes-agent,164441,1289,9291,main
AUTOMATIC1111,stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,163242,639,7689,master
huggingface,transformers,https://github.com/huggingface/transformers,160907,3943,15682,main
521xueweihan,HelloGitHub,https://github.com/521xueweihan/HelloGitHub,158282,11,117,master
langflow-ai,langflow,https://github.com/langflow-ai/langflow,148693,342,17702,main
ytdl-org,youtube-dl,https://github.com/ytdl-org/youtube-dl,140357,1011,517,master
open-webui,open-webui,https://github.com/open-webui/open-webui,138375,826,16562,main
langchain-ai,langchain,https://github.com/langchain-ai/langchain,137486,3686,16045,master
microsoft,markitdown,https://github.com/microsoft/markitdown,124839,80,308,main
Comfy-Org,ComfyUI,https://github.com/Comfy-Org/ComfyUI,114196,315,5293,master
Shubhamsaboo,awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,111581,82,1005,main
github,spec-kit,https://github.com/github/spec-kit,105311,202,993,main
openai,whisper,https://github.com/openai/whisper,100303,81,168,main
pytorch,pytorch,https://github.com/pytorch/pytorch,100141,6571,67869,main
fastapi,fastapi,https://github.com/fastapi/fastapi,98467,896,5610,master
browser-use,browser-use,https://github.com/browser-use/browser-use,95237,334,9281,main
hacksider,Deep-Live-Cam,https://github.com/hacksider/Deep-Live-Cam,93312,72,611,main
django,django,https://github.com/django/django,87565,3442,5007,main
home-assistant,core,https://github.com/home-assistant/core,87198,5447,73960,dev
3b1b,manim,https://github.com/3b1b/manim,87081,198,2358,master
sherlock-project,sherlock,https://github.com/sherlock-project/sherlock,83624,313,1407,master
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,82464,220,336,master
nextlevelbuilder,ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,81998,31,134,main
infiniflow,ragflow,https://github.com/infiniflow/ragflow,81097,604,6357,main
vllm-project,vllm,https://github.com/vllm-project/vllm,80816,2698,16915,main
TauricResearch,TradingAgents,https://github.com/TauricResearch/TradingAgents,78918,20,190,main
PaddlePaddle,PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,78421,293,4699,main
swisskyrepo,PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,77896,321,1127,master
tensorflow,models,https://github.com/tensorflow/models,77663,957,2893,master
Z4nzu,hackingtool,https://github.com/Z4nzu/hackingtool,76316,40,170,master
OpenHands,OpenHands,https://github.com/OpenHands/OpenHands,74657,474,6784,main
